Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#TH10000,customer_0@example.com,paid,2026-01-04 00:43:56 +0500,fulfilled,2025-12-22 00:48:02 +0500,yes,PKR,1999.0,0.0,0.0,1999.0,,0.0,Delivery Charges,2025-12-21 10:58:14+00:00,1,Portable Resistance Band Sit-Up Trainer – Full Body Workout,1999.0,3999.0,TH162,True,False,fulfilled,Customer 0,XXXXXXXXXX,XXXXXXXXXX,House 761,,Islamabad,,,PK,XXXXXXXXXX,Customer 0,XXXXXXXXXX,XXXXXXXXXX,House 761,,Islamabad,,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH19332.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6755710370012.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rCcB5tyGgqdg4yQXbQiRGwbt6 + #TH19332.1,,,rCcB5tyGgqdg4yQXbQiRGwbt6 + #TH19332.1
#TH10001,customer_1@example.com,paid,2026-02-12 20:56:25 +0500,fulfilled,2026-02-07 00:59:22 +0500,no,PKR,1199.0,0.0,0.0,1199.0,,0.0,Delivery Charges,2026-02-06 13:00:49+00:00,1,Sink Sponge Holder - Faucet Rack,1199.0,2399.0,TH61,True,False,fulfilled,Customer 1,XXXXXXXXXX,XXXXXXXXXX,,,Abbottabad,'22010,,PK,XXXXXXXXXX,Customer 1,XXXXXXXXXX,XXXXXXXXXX,,,Abbottabad,'22010,,PK,XXXXXXXXXX,Can,,,Cash on Delivery (COD),#TH21731.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6838721151196.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rvMR7o3iUlUx04PSBlYcf6jVC + #TH21731.1,,,rvMR7o3iUlUx04PSBlYcf6jVC + #TH21731.1
#TH10002,customer_2@example.com,paid,2025-10-05 05:44:51 +0500,fulfilled,2025-09-25 00:37:45 +0500,no,PKR,2299.0,0.0,0.0,2299.0,,0.0,Delivery Charges,2025-09-23 06:50:33+00:00,1,3 in 1 Handheld Vacuum Cleaner,2299.0,4599.0,TH121,True,False,fulfilled,Customer 2,XXXXXXXXXX,XXXXXXXXXX,,,Lahore Cantt,'58410,,PK,XXXXXXXXXX,Customer 2,XXXXXXXXXX,XXXXXXXXXX,,,Lahore Cantt,'58410,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH16324.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6546529419484.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rkCZwTYkFoedF7Y3gXRYGwj7k + #TH16324.1,,,rkCZwTYkFoedF7Y3gXRYGwj7k + #TH16324.1
#TH10003,customer_3@example.com,paid,2025-06-22 02:43:34 +0500,fulfilled,2025-06-11 00:46:41 +0500,yes,PKR,1999.0,0.0,0.0,1999.0,,0.0,Delivery Charges,2025-06-10 14:19:56+00:00,1,Portable Resistance Band Sit-Up Trainer – Full Body Workout,1999.0,3999.0,TH162,True,False,fulfilled,Customer 3,XXXXXXXXXX,XXXXXXXXXX,,,Lahore,'540000,,PK,XXXXXXXXXX,Customer 3,XXXXXXXXXX,XXXXXXXXXX,,,Lahore,'540000,,PK,XXXXXXXXXX,Order has been shipped via PostEx with Tracking 26150530009003. Confirm,"hxs_courier_name: PostEx
hxs_courier_tracking: 26150530009003
hxs_courier_url: https://postex.pk/tracking?cn=26150530009003
hxs_courier_label: https://merchant.postex.pk/get-invoice?trackingNumbers=26150530009003",,Cash on Delivery (COD),#TH11858.2,0.0,TRENDHUB PAKISTAN,0.0,,,,6394314260700.0,PostEx,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rXTIw9pzaXK2q3F0xwGh9Fy20 + #TH11858.2,,,rXTIw9pzaXK2q3F0xwGh9Fy20 + #TH11858.2
#TH10004,customer_4@example.com,paid,2026-05-03 14:28:29 +0500,fulfilled,2026-04-28 00:33:19 +0500,no,PKR,1899.0,250.0,0.0,2149.0,,0.0,Shipping Charges,2026-04-26 17:59:55+00:00,1,Spray Mop with Microfiber Pad – Reusable Flat Floor Cleaning Mop,1899.0,3999.0,TH254,True,False,fulfilled,Customer 4,XXXXXXXXXX,XXXXXXXXXX,Pizza Shop,,Pakpattan,'57400,,PK,XXXXXXXXXX,Customer 4,XXXXXXXXXX,XXXXXXXXXX,Pizza Shop,,Pakpattan,'57400,,PK,XXXXXXXXXX,Can,,,Cash on Delivery (COD),#TH26332.1,0.0,TRENDHUB PAKISTAN,0.0,,,,7011472834780.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rU9Wc7oS1RMZIU6WF3V2LrwPS + #TH26332.1,,,rU9Wc7oS1RMZIU6WF3V2LrwPS + #TH26332.1
#TH10005,customer_5@example.com,paid,2025-09-07 01:35:39 +0500,fulfilled,2025-08-25 00:26:55 +0500,no,PKR,1199.0,0.0,0.0,1199.0,,0.0,Delivery Charges,2025-08-24 11:14:07+00:00,1,Sink Sponge Holder - Faucet Rack,1199.0,2399.0,TH61,True,False,fulfilled,Customer 5,XXXXXXXXXX,XXXXXXXXXX,,,Islambad,,,PK,XXXXXXXXXX,Customer 5,XXXXXXXXXX,XXXXXXXXXX,,,Islambad,,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH15115.2,0.0,TRENDHUB PAKISTAN,0.0,,,,6502529859804.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rO6Ik5V2P4oRxRYOUQFghF2W5 + #TH15115.2,,,rO6Ik5V2P4oRxRYOUQFghF2W5 + #TH15115.2
#TH10006,customer_6@example.com,paid,2025-11-02 13:42:44 +0500,fulfilled,2025-10-27 01:31:02 +0500,yes,PKR,1999.0,0.0,0.0,1999.0,,0.0,Delivery Charges,2025-10-25 03:57:04+00:00,1,Portable Resistance Band Sit-Up Trainer – Full Body Workout,1999.0,3999.0,TH162,True,False,fulfilled,Customer 6,XXXXXXXXXX,XXXXXXXXXX,,,Rawalpindi,'46000,,PK,XXXXXXXXXX,Customer 6,XXXXXXXXXX,XXXXXXXXXX,,,Rawalpindi,'46000,,PK,XXXXXXXXXX,Check,,,Cash on Delivery (COD),#TH17386.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6615504027868.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rHmcWCPHrz0FarAwXZPAV5x9w + #TH17386.1,,,rHmcWCPHrz0FarAwXZPAV5x9w + #TH17386.1
#TH10007,customer_7@example.com,paid,2026-05-01 20:21:22 +0500,fulfilled,2026-04-20 00:39:11 +0500,yes,PKR,5099.0,0.0,0.0,5099.0,,0.0,Delivery Charges,2026-04-19 10:51:42+00:00,1,Heavy-Duty Multi-Layer Shoe Cabinet Organizer - 7 - Layer,5099.0,10199.0,TH168,True,False,fulfilled,Customer 7,XXXXXXXXXX,XXXXXXXXXX,,,Rawalpindi,,,PK,XXXXXXXXXX,Customer 7,XXXXXXXXXX,XXXXXXXXXX,,,Rawalpindi,,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH25953.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6996112965852.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rxxxbYHvuAAwG3luZP35MS6Fp + #TH25953.1,,,rxxxbYHvuAAwG3luZP35MS6Fp + #TH25953.1
#TH10008,customer_8@example.com,paid,2026-04-10 19:24:05 +0500,fulfilled,2026-03-31 00:20:09 +0500,no,PKR,1199.0,250.0,0.0,1449.0,,0.0,Shipping Charges,2026-03-30 12:48:13+00:00,1,Kitchen Sink Splash Guard – Extra Wide Water Protection - Pack of 2,1199.0,2399.0,TH233,True,False,fulfilled,Customer 8,XXXXXXXXXX,XXXXXXXXXX,,,اسلام آباد,'44000,,PK,XXXXXXXXXX,Customer 8,XXXXXXXXXX,XXXXXXXXXX,,,اسلام آباد,'44000,,PK,XXXXXXXXXX,Check,,,Cash on Delivery (COD),#TH24915.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6951633748188.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rXPCpfjpKWAB8edeUka7VEfk1 + #TH24915.1,,,rXPCpfjpKWAB8edeUka7VEfk1 + #TH24915.1
#TH10009,customer_9@example.com,paid,2025-08-01 00:13:28 +0500,fulfilled,2025-07-26 15:50:31 +0500,yes,PKR,1199.0,0.0,0.0,1199.0,,0.0,Delivery Charges,2025-07-25 18:10:29+00:00,1,Sink Sponge Holder - Faucet Rack,1199.0,2399.0,TH61,True,False,fulfilled,Customer 9,XXXXXXXXXX,XXXXXXXXXX,,,Karachi,,,PK,XXXXXXXXXX,Customer 9,XXXXXXXXXX,XXXXXXXXXX,,,Karachi,,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH13789.2,0.0,TRENDHUB PAKISTAN,0.0,,,,6456594858204.0,JD Delivery,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rZWu3gDo6HeuaMN0MSUmrOE8J + #TH13789.2,,,rZWu3gDo6HeuaMN0MSUmrOE8J + #TH13789.2
